game_id;player_name;opponent_name;turn_number;row;col;result;opponent_ship_positions;winner
ab42c433;hugo;raphael;32;8;0;miss;[{'row': 1, 'col': 2, 'size': 5, 'orientation': 'horizontal'}, {'row': 3, 'col': 4, 'size': 4, 'orientation': 'horizontal'}, {'row': 5, 'col': 4, 'size': 3, 'orientation': 'horizontal'}, {'row': 7, 'col': 4, 'size': 3, 'orientation': 'horizontal'}, {'row': 6, 'col': 0, 'size': 2, 'orientation': 'horizontal'}];
ab42c433;raphael;hugo;33;9;3;hit;[{'row': 1, 'col': 4, 'size': 5, 'orientation': 'horizontal'}, {'row': 3, 'col': 5, 'size': 4, 'orientation': 'horizontal'}, {'row': 4, 'col': 3, 'size': 3, 'orientation': 'horizontal'}, {'row': 5, 'col': 7, 'size': 3, 'orientation': 'horizontal'}, {'row': 9, 'col': 2, 'size': 2, 'orientation': 'horizontal'}];
5e3d7a87;player;player1;1;4;3;miss;[];
b2049e00;player;player1;1;3;5;miss;[];
07206f11;player;player1;1;5;4;miss;[];
a2dd671b;player;player1;1;2;5;miss;[];
71d9dd22;player;ai;1;3;5;hit;[{'row': 4, 'col': 3, 'size': 5, 'orientation': 'vertical'}, {'row': 3, 'col': 5, 'size': 4, 'orientation': 'vertical'}, {'row': 8, 'col': 6, 'size': 3, 'orientation': 'horizontal'}, {'row': 1, 'col': 3, 'size': 3, 'orientation': 'vertical'}, {'row': 1, 'col': 0, 'size': 2, 'orientation': 'vertical'}];
71d9dd22;ai;player;2;-1;-1;miss;[{'row': 1, 'col': 2, 'size': 5, 'orientation': 'horizontal'}, {'row': 3, 'col': 6, 'size': 4, 'orientation': 'horizontal'}, {'row': 5, 'col': 5, 'size': 3, 'orientation': 'horizontal'}, {'row': 4, 'col': 1, 'size': 3, 'orientation': 'horizontal'}, {'row': 8, 'col': 2, 'size': 2, 'orientation': 'horizontal'}];
71d9dd22;player;ai;3;5;4;miss;[{'row': 4, 'col': 3, 'size': 5, 'orientation': 'vertical'}, {'row': 3, 'col': 5, 'size': 4, 'orientation': 'vertical'}, {'row': 8, 'col': 6, 'size': 3, 'orientation': 'horizontal'}, {'row': 1, 'col': 3, 'size': 3, 'orientation': 'vertical'}, {'row': 1, 'col': 0, 'size': 2, 'orientation': 'vertical'}];
71d9dd22;ai;player;4;-1;-1;miss;[{'row': 1, 'col': 2, 'size': 5, 'orientation': 'horizontal'}, {'row': 3, 'col': 6, 'size': 4, 'orientation': 'horizontal'}, {'row': 5, 'col': 5, 'size': 3, 'orientation': 'horizontal'}, {'row': 4, 'col': 1, 'size': 3, 'orientation': 'horizontal'}, {'row': 8, 'col': 2, 'size': 2, 'orientation': 'horizontal'}];
71d9dd22;player;ai;5;3;6;miss;[{'row': 4, 'col': 3, 'size': 5, 'orientation': 'vertical'}, {'row': 3, 'col': 5, 'size': 4, 'orientation': 'vertical'}, {'row': 8, 'col': 6, 'size': 3, 'orientation': 'horizontal'}, {'row': 1, 'col': 3, 'size': 3, 'orientation': 'vertical'}, {'row': 1, 'col': 0, 'size': 2, 'orientation': 'vertical'}];
71d9dd22;ai;player;6;-1;-1;miss;[{'row': 1, 'col': 2, 'size': 5, 'orientation': 'horizontal'}, {'row': 3, 'col': 6, 'size': 4, 'orientation': 'horizontal'}, {'row': 5, 'col': 5, 'size': 3, 'orientation': 'horizontal'}, {'row': 4, 'col': 1, 'size': 3, 'orientation': 'horizontal'}, {'row': 8, 'col': 2, 'size': 2, 'orientation': 'horizontal'}];
71d9dd22;player;ai;7;3;4;miss;[{'row': 4, 'col': 3, 'size': 5, 'orientation': 'vertical'}, {'row': 3, 'col': 5, 'size': 4, 'orientation': 'vertical'}, {'row': 8, 'col': 6, 'size': 3, 'orientation': 'horizontal'}, {'row': 1, 'col': 3, 'size': 3, 'orientation': 'vertical'}, {'row': 1, 'col': 0, 'size': 2, 'orientation': 'vertical'}];
71d9dd22;ai;player;8;-1;-1;miss;[{'row': 1, 'col': 2, 'size': 5, 'orientation': 'horizontal'}, {'row': 3, 'col': 6, 'size': 4, 'orientation': 'horizontal'}, {'row': 5, 'col': 5, 'size': 3, 'orientation': 'horizontal'}, {'row': 4, 'col': 1, 'size': 3, 'orientation': 'horizontal'}, {'row': 8, 'col': 2, 'size': 2, 'orientation': 'horizontal'}];
71d9dd22;player;ai;9;2;5;miss;[{'row': 4, 'col': 3, 'size': 5, 'orientation': 'vertical'}, {'row': 3, 'col': 5, 'size': 4, 'orientation': 'vertical'}, {'row': 8, 'col': 6, 'size': 3, 'orientation': 'horizontal'}, {'row': 1, 'col': 3, 'size': 3, 'orientation': 'vertical'}, {'row': 1, 'col': 0, 'size': 2, 'orientation': 'vertical'}];
71d9dd22;ai;player;10;-1;-1;miss;[{'row': 1, 'col': 2, 'size': 5, 'orientation': 'horizontal'}, {'row': 3, 'col': 6, 'size': 4, 'orientation': 'horizontal'}, {'row': 5, 'col': 5, 'size': 3, 'orientation': 'horizontal'}, {'row': 4, 'col': 1, 'size': 3, 'orientation': 'horizontal'}, {'row': 8, 'col': 2, 'size': 2, 'orientation': 'horizontal'}];
71d9dd22;player;ai;11;4;5;hit;[{'row': 4, 'col': 3, 'size': 5, 'orientation': 'vertical'}, {'row': 3, 'col': 5, 'size': 4, 'orientation': 'vertical'}, {'row': 8, 'col': 6, 'size': 3, 'orientation': 'horizontal'}, {'row': 1, 'col': 3, 'size': 3, 'orientation': 'vertical'}, {'row': 1, 'col': 0, 'size': 2, 'orientation': 'vertical'}];
71d9dd22;ai;player;12;-1;-1;miss;[{'row': 1, 'col': 2, 'size': 5, 'orientation': 'horizontal'}, {'row': 3, 'col': 6, 'size': 4, 'orientation': 'horizontal'}, {'row': 5, 'col': 5, 'size': 3, 'orientation': 'horizontal'}, {'row': 4, 'col': 1, 'size': 3, 'orientation': 'horizontal'}, {'row': 8, 'col': 2, 'size': 2, 'orientation': 'horizontal'}];
71d9dd22;player;ai;13;5;5;hit;[{'row': 4, 'col': 3, 'size': 5, 'orientation': 'vertical'}, {'row': 3, 'col': 5, 'size': 4, 'orientation': 'vertical'}, {'row': 8, 'col': 6, 'size': 3, 'orientation': 'horizontal'}, {'row': 1, 'col': 3, 'size': 3, 'orientation': 'vertical'}, {'row': 1, 'col': 0, 'size': 2, 'orientation': 'vertical'}];
71d9dd22;ai;player;14;-1;-1;miss;[{'row': 1, 'col': 2, 'size': 5, 'orientation': 'horizontal'}, {'row': 3, 'col': 6, 'size': 4, 'orientation': 'horizontal'}, {'row': 5, 'col': 5, 'size': 3, 'orientation': 'horizontal'}, {'row': 4, 'col': 1, 'size': 3, 'orientation': 'horizontal'}, {'row': 8, 'col': 2, 'size': 2, 'orientation': 'horizontal'}];
71d9dd22;player;ai;15;6;5;hit;[{'row': 4, 'col': 3, 'size': 5, 'orientation': 'vertical'}, {'row': 3, 'col': 5, 'size': 4, 'orientation': 'vertical'}, {'row': 8, 'col': 6, 'size': 3, 'orientation': 'horizontal'}, {'row': 1, 'col': 3, 'size': 3, 'orientation': 'vertical'}, {'row': 1, 'col': 0, 'size': 2, 'orientation': 'vertical'}];
71d9dd22;ai;player;16;-1;-1;miss;[{'row': 1, 'col': 2, 'size': 5, 'orientation': 'horizontal'}, {'row': 3, 'col': 6, 'size': 4, 'orientation': 'horizontal'}, {'row': 5, 'col': 5, 'size': 3, 'orientation': 'horizontal'}, {'row': 4, 'col': 1, 'size': 3, 'orientation': 'horizontal'}, {'row': 8, 'col': 2, 'size': 2, 'orientation': 'horizontal'}];
71d9dd22;player;ai;17;7;5;miss;[{'row': 4, 'col': 3, 'size': 5, 'orientation': 'vertical'}, {'row': 3, 'col': 5, 'size': 4, 'orientation': 'vertical'}, {'row': 8, 'col': 6, 'size': 3, 'orientation': 'horizontal'}, {'row': 1, 'col': 3, 'size': 3, 'orientation': 'vertical'}, {'row': 1, 'col': 0, 'size': 2, 'orientation': 'vertical'}];
71d9dd22;ai;player;18;-1;-1;miss;[{'row': 1, 'col': 2, 'size': 5, 'orientation': 'horizontal'}, {'row': 3, 'col': 6, 'size': 4, 'orientation': 'horizontal'}, {'row': 5, 'col': 5, 'size': 3, 'orientation': 'horizontal'}, {'row': 4, 'col': 1, 'size': 3, 'orientation': 'horizontal'}, {'row': 8, 'col': 2, 'size': 2, 'orientation': 'horizontal'}];
71d9dd22;player;ai;19;7;2;miss;[{'row': 4, 'col': 3, 'size': 5, 'orientation': 'vertical'}, {'row': 3, 'col': 5, 'size': 4, 'orientation': 'vertical'}, {'row': 8, 'col': 6, 'size': 3, 'orientation': 'horizontal'}, {'row': 1, 'col': 3, 'size': 3, 'orientation': 'vertical'}, {'row': 1, 'col': 0, 'size': 2, 'orientation': 'vertical'}];
71d9dd22;ai;player;20;-1;-1;miss;[{'row': 1, 'col': 2, 'size': 5, 'orientation': 'horizontal'}, {'row': 3, 'col': 6, 'size': 4, 'orientation': 'horizontal'}, {'row': 5, 'col': 5, 'size': 3, 'orientation': 'horizontal'}, {'row': 4, 'col': 1, 'size': 3, 'orientation': 'horizontal'}, {'row': 8, 'col': 2, 'size': 2, 'orientation': 'horizontal'}];
71d9dd22;player;ai;21;6;1;miss;[{'row': 4, 'col': 3, 'size': 5, 'orientation': 'vertical'}, {'row': 3, 'col': 5, 'size': 4, 'orientation': 'vertical'}, {'row': 8, 'col': 6, 'size': 3, 'orientation': 'horizontal'}, {'row': 1, 'col': 3, 'size': 3, 'orientation': 'vertical'}, {'row': 1, 'col': 0, 'size': 2, 'orientation': 'vertical'}];
